FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD
01/01/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,BOGOTA D.C.,1
01/01/1996 12:00:00 AM,50,META,50689,SAN MARTIN,1
01/02/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",2
01/02/1996 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,1
01/03/1996 12:00:00 AM,20,CESAR,20001,VALLEDUPAR,1
01/04/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",2
01/05/1996 12:00:00 AM,15,BOYACÁ,15176,CHIQUINQUIRA,1
01/05/1996 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,1
01/05/1996 12:00:00 AM,76,VALLE DEL CAUCA,76001,CALI,1
01/09/1996 12:00:00 AM,5,ANTIOQUIA,5209,CONCORDIA,1
01/09/1996 12:00:00 AM,20,CESAR,20001,VALLEDUPAR,1
01/09/1996 12:00:00 AM,66,RISARALDA,66001,PEREIRA,1
01/09/1996 12:00:00 AM,73,TOLIMA,73001,IBAGUE,1
01/10/1996 12:00:00 AM,41,HUILA,41298,GARZON,1
01/11/1996 12:00:00 AM,5,ANTIOQUIA,5631,SABANETA,1
01/13/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",1
01/15/1996 12:00:00 AM,5,ANTIOQUIA,5001,MEDELLIN,2
01/15/1996 12:00:00 AM,5,ANTIOQUIA,5376,LA CEJA,1
01/15/1996 12:00:00 AM,50,META,50001,VILLAVICENCIO,1
01/16/1996 12:00:00 AM,5,ANTIOQUIA,5001,MEDELLIN,1
01/16/1996 12:00:00 AM,5,ANTIOQUIA,5697,EL SANTUARIO,1
01/16/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",1
01/16/1996 12:00:00 AM,18,CAQUETÁ,18001,FLORENCIA,1
01/16/1996 12:00:00 AM,50,META,50001,VILLAVICENCIO,1
01/17/1996 12:00:00 AM,5,ANTIOQUIA,5001,MEDELLIN,2
01/17/1996 12:00:00 AM,76,VALLE DEL CAUCA,76001,CALI,1
01/18/1996 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,2
01/19/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",1
01/19/1996 12:00:00 AM,73,TOLIMA,73001,IBAGUE,1
01/20/1996 12:00:00 AM,54,NORTE DE SANTANDER,54874,VILLA DEL ROSARIO,1
01/20/1996 12:00:00 AM,66,RISARALDA,66001,PEREIRA,1
01/21/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",2
01/22/1996 12:00:00 AM,5,ANTIOQUIA,5660,SAN LUIS,1
01/22/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",3
01/22/1996 12:00:00 AM,66,RISARALDA,66001,PEREIRA,1
01/22/1996 12:00:00 AM,76,VALLE DEL CAUCA,76001,CALI,1
01/23/1996 12:00:00 AM,66,RISARALDA,66001,PEREIRA,1
01/24/1996 12:00:00 AM,15,BOYACÁ,15759,SOGAMOSO,1
01/24/1996 12:00:00 AM,20,CESAR,20001,VALLEDUPAR,1
01/25/1996 12:00:00 AM,5,ANTIOQUIA,5001,MEDELLIN,1
01/25/1996 12:00:00 AM,15,BOYACÁ,15759,SOGAMOSO,3
01/25/1996 12:00:00 AM,19,CAUCA,19001,POPAYAN,1
01/25/1996 12:00:00 AM,41,HUILA,41001,NEIVA,1
01/25/1996 12:00:00 AM,66,RISARALDA,66001,PEREIRA,2
01/26/1996 12:00:00 AM,5,ANTIOQUIA,5001,MEDELLIN,1
01/26/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",3
01/26/1996 12:00:00 AM,15,BOYACÁ,15759,SOGAMOSO,1
01/26/1996 12:00:00 AM,66,RISARALDA,66001,PEREIRA,1
01/26/1996 12:00:00 AM,68,SANTANDER,68001,BUCARAMANGA,1
01/26/1996 12:00:00 AM,73,TOLIMA,73001,IBAGUE,1
01/27/1996 12:00:00 AM,41,HUILA,41872,VILLAVIEJA,1
01/27/1996 12:00:00 AM,66,RISARALDA,66001,PEREIRA,1
01/27/1996 12:00:00 AM,68,SANTANDER,68001,BUCARAMANGA,1
01/29/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",2
01/29/1996 12:00:00 AM,66,RISARALDA,66001,PEREIRA,1
01/30/1996 12:00:00 AM,17,CALDAS,17013,AGUADAS,1
01/30/1996 12:00:00 AM,66,RISARALDA,66001,PEREIRA,3
01/30/1996 12:00:00 AM,73,TOLIMA,73001,IBAGUE,2
01/31/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",2
01/31/1996 12:00:00 AM,54,NORTE DE SANTANDER,54871,VILLA CARO,1
02/01/1996 12:00:00 AM,18,CAQUETÁ,18001,FLORENCIA,2
02/01/1996 12:00:00 AM,68,SANTANDER,68001,BUCARAMANGA,1
02/02/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",2
02/02/1996 12:00:00 AM,68,SANTANDER,68001,BUCARAMANGA,1
02/03/1996 12:00:00 AM,18,CAQUETÁ,18001,FLORENCIA,1
02/03/1996 12:00:00 AM,66,RISARALDA,66001,PEREIRA,1
02/05/1996 12:00:00 AM,5,ANTIOQUIA,5001,MEDELLIN,1
02/05/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",1
02/05/1996 12:00:00 AM,17,CALDAS,17001,MANIZALES,3
02/05/1996 12:00:00 AM,50,META,50001,VILLAVICENCIO,1
02/05/1996 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,1
02/06/1996 12:00:00 AM,5,ANTIOQUIA,5001,MEDELLIN,1
02/06/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",1
02/06/1996 12:00:00 AM,19,CAUCA,19001,POPAYAN,2
02/06/1996 12:00:00 AM,20,CESAR,20001,VALLEDUPAR,1
02/06/1996 12:00:00 AM,66,RISARALDA,66088,BELEN DE UMBRIA,1
02/06/1996 12:00:00 AM,70,SUCRE,70820,SANTIAGO DE TOLU,1
02/07/1996 12:00:00 AM,41,HUILA,41001,NEIVA,1
02/08/1996 12:00:00 AM,50,META,50001,VILLAVICENCIO,1
02/08/1996 12:00:00 AM,76,VALLE DEL CAUCA,76001,CALI,1
02/09/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",2
02/09/1996 12:00:00 AM,66,RISARALDA,66088,BELEN DE UMBRIA,1
02/09/1996 12:00:00 AM,76,VALLE DEL CAUCA,76001,CALI,2
