FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,TIPO DELITO,CANTIDAD
01/01/1996 12:00:00 AM,5,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,SECUESTRO SIMPLE,1
01/01/1996 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,SECUESTRO EXTORSIVO,1
01/02/1996 12:00:00 AM,5,ANTIOQUIA,5038,ANGOSTURA,SECUESTRO EXTORSIVO,1
01/02/1996 12:00:00 AM,5,ANTIOQUIA,5088,BELLO,SECUESTRO EXTORSIVO,1
01/02/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1
01/02/1996 12:00:00 AM,68,SANTANDER,68001,BUCARAMANGA,SECUESTRO EXTORSIVO,1
01/03/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1
01/04/1996 12:00:00 AM,5,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,1
01/04/1996 12:00:00 AM,18,CAQUETÁ,18592,PUERTO RICO,SECUESTRO EXTORSIVO,1
01/04/1996 12:00:00 AM,63,QUINDÍO,63001,ARMENIA,SECUESTRO EXTORSIVO,1
01/05/1996 12:00:00 AM,5,ANTIOQUIA,5088,BELLO,SECUESTRO EXTORSIVO,1
01/05/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1
01/05/1996 12:00:00 AM,25,CUNDINAMARCA,25377,LA CALERA,SECUESTRO EXTORSIVO,1
01/06/1996 12:00:00 AM,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,1
01/06/1996 12:00:00 AM,5,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,2
01/07/1996 12:00:00 AM,5,ANTIOQUIA,5761,SOPETRAN,SECUESTRO EXTORSIVO,1
01/08/1996 12:00:00 AM,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,3
01/08/1996 12:00:00 AM,5,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,2
01/08/1996 12:00:00 AM,5,ANTIOQUIA,5045,APARTADO,SECUESTRO EXTORSIVO,1
01/08/1996 12:00:00 AM,44,LA GUAJIRA,44874,VILLANUEVA,SECUESTRO EXTORSIVO,2
01/09/1996 12:00:00 AM,41,HUILA,41306,GIGANTE,SECUESTRO EXTORSIVO,1
01/09/1996 12:00:00 AM,81,ARAUCA,81591,PUERTO RONDON,SECUESTRO EXTORSIVO,1
01/10/1996 12:00:00 AM,5,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,2
01/10/1996 12:00:00 AM,5,ANTIOQUIA,5045,APARTADO,SECUESTRO EXTORSIVO,2
01/10/1996 12:00:00 AM,8,ATLÁNTICO,8001,BARRANQUILLA,SECUESTRO EXTORSIVO,1
01/11/1996 12:00:00 AM,15,BOYACÁ,15572,PUERTO BOYACA,SECUESTRO EXTORSIVO,1
01/11/1996 12:00:00 AM,41,HUILA,41132,CAMPOALEGRE,SECUESTRO EXTORSIVO,1
01/12/1996 12:00:00 AM,20,CESAR,20175,CHIMICHAGUA,SECUESTRO EXTORSIVO,1
01/13/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1
01/13/1996 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,SECUESTRO EXTORSIVO,1
01/14/1996 12:00:00 AM,20,CESAR,20517,PAILITAS,SECUESTRO EXTORSIVO,1
01/15/1996 12:00:00 AM,18,CAQUETÁ,18001,FLORENCIA,SECUESTRO EXTORSIVO,1
01/16/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,2
01/16/1996 12:00:00 AM,68,SANTANDER,68547,PIEDECUESTA,SECUESTRO EXTORSIVO,1
01/17/1996 12:00:00 AM,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,4
01/17/1996 12:00:00 AM,20,CESAR,20614,RIO DE ORO,SECUESTRO EXTORSIVO,1
01/17/1996 12:00:00 AM,41,HUILA,41020,ALGECIRAS,SECUESTRO EXTORSIVO,1
01/17/1996 12:00:00 AM,47,MAGDALENA,47058,ARIGUANI,SECUESTRO EXTORSIVO,1
01/17/1996 12:00:00 AM,54,NORTE DE SANTANDER,54498,OCAÑA,SECUESTRO EXTORSIVO,1
01/18/1996 12:00:00 AM,5,ANTIOQUIA,5847,URRAO,SECUESTRO EXTORSIVO,1
01/18/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1
01/18/1996 12:00:00 AM,54,NORTE DE SANTANDER,54498,OCAÑA,SECUESTRO EXTORSIVO,1
01/18/1996 12:00:00 AM,68,SANTANDER,68547,PIEDECUESTA,SECUESTRO EXTORSIVO,1
01/18/1996 12:00:00 AM,70,SUCRE,70265,GUARANDA,SECUESTRO EXTORSIVO,1
01/19/1996 12:00:00 AM,11,BOGOTÁ D.C.,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1
01/19/1996 12:00:00 AM,50,META,50124,CABUYARO,SECUESTRO EXTORSIVO,1
01/20/1996 12:00:00 AM,5,ANTIOQUIA,5642,SALGAR,SECUESTRO EXTORSIVO,1
01/20/1996 12:00:00 AM,85,CASANARE,85162,MONTERREY,SECUESTRO EXTORSIVO,1
01/21/1996 12:00:00 AM,5,ANTIOQUIA,5664,SAN PEDRO,SECUESTRO EXTORSIVO,1
